Fri Nov  7 13:23:14 2025 | Satellite ID: 2 |POS: (-483.84423784982687, -715.4947199676772, 573.1316554984815)  | VEL: 2.55 km/s    |
Fri Nov  7 13:23:19 2025 | Satellite ID: 2 |POS: (740.7885333135307, 282.40321348406565, 982.3874535102639)  | VEL: 7.95 km/s    |
Fri Nov  7 13:23:19 2025 | Satellite ID: 3 |POS: (572.822765260513, 112.01798566889101, -773.2723965391915)  | VEL: 6.10 km/s    |
Fri Nov  7 13:23:20 2025 | Satellite ID: 1 |POS: (-759.8140066649369, 171.34169083788493, 959.3381411056589)  | VEL: 0.06 km/s    |
Fri Nov  7 13:23:20 2025 | Satellite ID: 2 |POS: (-532.105447527782, 307.55324847144584, -408.6558670763462)  | VEL: 3.58 km/s    |
Fri Nov  7 13:23:20 2025 | Satellite ID: 3 |POS: (-679.5185972770146, -754.8426674438983, -136.27217111171808)  | VEL: 2.85 km/s    |
Fri Nov  7 13:23:21 2025 | Satellite ID: 1 |POS: (-193.96822026631196, -762.8074020634949, 106.43318726571329)  | VEL: 8.58 km/s    |
Fri Nov  7 13:23:21 2025 | Satellite ID: 2 |POS: (50.63721694507649, 263.41563453608524, 41.115419494853995)  | VEL: 2.20 km/s    |
Fri Nov  7 13:23:21 2025 | Satellite ID: 3 |POS: (-998.918215519405, 625.68601268517, -820.3382206005982)  | VEL: 2.90 km/s    |
Fri Nov  7 13:23:22 2025 | Satellite ID: 1 |POS: (87.50714928831621, -399.9690474875806, -871.9141472620666)  | VEL: 8.51 km/s    |
Fri Nov  7 13:23:22 2025 | Satellite ID: 3 |POS: (98.26765483841268, 578.7977609576296, -210.63398984116554)  | VEL: 3.32 km/s    |
Fri Nov  7 13:23:22 2025 | Satellite ID: 2 |POS: (-763.6214749791532, -148.3017418311539, -76.56829787495735)  | VEL: 3.42 km/s    |
Fri Nov  7 13:23:23 2025 | Satellite ID: 1 |POS: (-110.3249111034221, 673.7692958424918, 999.1432458128775)  | VEL: 3.36 km/s    |
Fri Nov  7 13:23:23 2025 | Satellite ID: 2 |POS: (-466.1527039196127, -518.825887973174, 995.4873944760714)  | VEL: 1.40 km/s    |
Fri Nov  7 13:23:23 2025 | Satellite ID: 3 |POS: (-418.7838721467681, -27.653848991301174, 180.05403992229003)  | VEL: 1.51 km/s    |
Fri Nov  7 13:23:24 2025 | Satellite ID: 1 |POS: (681.7886054303324, -865.0870039524627, -783.3479443342151)  | VEL: 1.56 km/s    |
Fri Nov  7 13:23:24 2025 | Satellite ID: 3 |POS: (78.62563071168802, 244.6909438281914, 562.1409033975297)  | VEL: 3.54 km/s    |
Fri Nov  7 13:23:24 2025 | Satellite ID: 2 |POS: (-734.4467353437644, -870.9289396732291, -167.70783164344323)  | VEL: 5.25 km/s    |
Fri Nov  7 13:23:25 2025 | Satellite ID: 1 |POS: (-451.79961374083643, 337.8188393265805, -206.390934624642)  | VEL: 7.54 km/s    |
Fri Nov  7 13:23:25 2025 | Satellite ID: 3 |POS: (689.0231479809454, 941.2103154969045, 723.4628344014218)  | VEL: 2.23 km/s    |
Fri Nov  7 13:23:25 2025 | Satellite ID: 2 |POS: (262.4842422167053, 172.97342379667816, -819.8473270148874)  | VEL: 4.40 km/s    |
Fri Nov  7 13:23:26 2025 | Satellite ID: 1 |POS: (-285.6663901298664, 315.73594509495683, -332.93851590775955)  | VEL: 6.57 km/s    |
Fri Nov  7 13:23:26 2025 | Satellite ID: 3 |POS: (-260.65295412036437, 716.701063624887, -578.914665818075)  | VEL: 9.36 km/s    |
Fri Nov  7 13:23:26 2025 | Satellite ID: 2 |POS: (418.8456831521785, -262.59382210059505, -106.02351899596579)  | VEL: 6.35 km/s    |
Fri Nov  7 13:23:27 2025 | Satellite ID: 1 |POS: (876.2359418981171, -515.1908600267832, -472.37755315295374)  | VEL: 9.99 km/s    |
Fri Nov  7 13:23:27 2025 | Satellite ID: 3 |POS: (974.5562352161812, 841.5064693358297, -504.61653127547845)  | VEL: 4.70 km/s    |
Fri Nov  7 13:23:27 2025 | Satellite ID: 2 |POS: (177.3715047127116, 466.8216107004521, -288.29010949209135)  | VEL: 2.32 km/s    |
Fri Nov  7 13:23:28 2025 | Satellite ID: 1 |POS: (645.8962095581244, 92.11011778288503, 712.372254686423)  | VEL: 0.72 km/s    |
Fri Nov  7 13:23:28 2025 | Satellite ID: 3 |POS: (756.7228112736896, -984.8412640765747, -467.7674707555491)  | VEL: 0.42 km/s    |
Fri Nov  7 13:23:29 2025 | Satellite ID: 1 |POS: (-105.06244821776795, -931.9494797225751, 204.1594090477256)  | VEL: 3.08 km/s    |
Fri Nov  7 13:23:29 2025 | Satellite ID: 3 |POS: (-390.83937713907505, 9.928761025457675, -530.549785281039)  | VEL: 0.53 km/s    |
Fri Nov  7 13:23:29 2025 | Satellite ID: 2 |POS: (932.6570536999075, 120.94683866196783, 130.5882232553313)  | VEL: 6.42 km/s    |
Fri Nov  7 13:23:30 2025 | Satellite ID: 1 |POS: (292.1372975479351, -35.811445765677945, 942.1025422516122)  | VEL: 4.19 km/s    |
Fri Nov  7 13:23:30 2025 | Satellite ID: 2 |POS: (132.136062178791, 884.0280355287739, 14.590440472642854)  | VEL: 3.20 km/s    |
Fri Nov  7 13:23:30 2025 | Satellite ID: 3 |POS: (-235.5953003462772, 774.5227843709588, -129.1328079478218)  | VEL: 5.99 km/s    |
Fri Nov  7 13:23:31 2025 | Satellite ID: 1 |POS: (-450.0429361676912, -684.1083749861123, 889.954187540043)  | VEL: 6.56 km/s    |
Fri Nov  7 13:23:31 2025 | Satellite ID: 3 |POS: (156.50346425048565, 205.43117945768722, -666.7108468673946)  | VEL: 2.01 km/s    |
Fri Nov  7 13:23:31 2025 | Satellite ID: 2 |POS: (-538.5571398990068, -657.4160005059459, 390.31880657798524)  | VEL: 3.23 km/s    |
Fri Nov  7 13:23:32 2025 | Satellite ID: 1 |POS: (-929.5111747125852, -626.1847261170732, 982.3042991265772)  | VEL: 4.26 km/s    |
Fri Nov  7 13:23:32 2025 | Satellite ID: 3 |POS: (-469.0915578110495, -972.787526903266, -907.5416203906273)  | VEL: 5.49 km/s    |
Fri Nov  7 13:23:32 2025 | Satellite ID: 2 |POS: (-365.0893553219379, 692.4808246989774, -207.75765380425764)  | VEL: 9.50 km/s    |
Fri Nov  7 13:23:33 2025 | Satellite ID: 1 |POS: (-73.3061037731029, 621.6590623791537, -992.9340556375143)  | VEL: 4.19 km/s    |
Fri Nov  7 13:23:33 2025 | Satellite ID: 2 |POS: (583.3386142244644, 655.5137197164393, 399.6655342167044)  | VEL: 2.52 km/s    |
Fri Nov  7 13:23:33 2025 | Satellite ID: 3 |POS: (980.212592629005, -343.8830440611422, 424.9468436437944)  | VEL: 4.75 km/s    |
Fri Nov  7 13:23:34 2025 | Satellite ID: 1 |POS: (-528.3493776192331, -156.9812534621458, -319.5589253293565)  | VEL: 4.08 km/s    |
Fri Nov  7 13:23:34 2025 | Satellite ID: 2 |POS: (-276.0615383976783, -358.41142412185195, -918.4299877182409)  | VEL: 1.39 km/s    |
Fri Nov  7 13:23:34 2025 | Satellite ID: 3 |POS: (418.17119195927967, -390.54556453768964, 651.9509549978263)  | VEL: 4.63 km/s    |
